Sample	CD3-/CD4-/CD8a+/FoxP3-/CD25+	CD3-/CD4-/CD8a+/FoxP3+/CD25+	CD3-/CD4-/CD8a+/FoxP3+/CD25-	CD3-/CD4-/CD8a+/FoxP3-/CD25-	CD3-/CD4+/CD8a+/FoxP3-/CD25+	CD3-/CD4+/CD8a+/FoxP3+/CD25+	CD3-/CD4+/CD8a+/FoxP3+/CD25-	CD3-/CD4+/CD8a+/FoxP3-/CD25-	CD3-/CD4+/CD8a-/FoxP3-/CD25+	CD3-/CD4+/CD8a-/FoxP3+/CD25+	CD3-/CD4+/CD8a-/FoxP3+/CD25-	CD3-/CD4+/CD8a-/FoxP3-/CD25-	CD3-/CD4-/CD8a-/FoxP3-/CD25+	CD3-/CD4-/CD8a-/FoxP3+/CD25+	CD3-/CD4-/CD8a-/FoxP3+/CD25-	CD3-/CD4-/CD8a-/FoxP3-/CD25-
Specimen_67 PBMC_A1_A01_001.fcs	26	1	4	6199	0	1	1	9	3	5	3	126	1576	25	109	35894
Specimen_67 cec_C1_C01_025.fcs	34	0	12	2400	5	3	1	5	0	0	3	33	166	3	556	7868
Specimen_67 ln_B1_B01_013.fcs	43	13	51	3464	0	1	10	9	2	2	9	53	851	103	204	21943
Specimen_68 PBMC_A2_A02_002.fcs	19	2	8	3120	0	1	4	574	1	6	5	150	685	24	121	15549
Specimen_68 cec_C2_C02_026.fcs	14	1	4	381	0	0	3	14	1	1	12	98	117	5	151	4674
Specimen_68 ln_B2_B02_014.fcs	42	11	32	1708	7	9	16	170	4	16	15	254	1292	58	97	31045
Specimen_69 PBMC_A3_A03_003.fcs	58	4	8	6374	6	2	2	54	6	18	7	172	3223	31	225	50470
Specimen_69 cec_C3_C03_027.fcs	697	4	25	4380	60	42	40	511	125	8	39	1034	1849	12	1095	17378
Specimen_69 ln_B3_B03_015.fcs	85	17	31	2172	7	19	10	75	7	31	19	310	1132	35	144	44423
Specimen_70 PBMC_A4_A04_004.fcs	49	6	23	9551	3	1	3	66	4	17	45	496	2779	107	335	50205
Specimen_70 cec_C4_C04_028.fcs	170	0	14	1803	8	5	1	132	6	1	4	166	351	1	477	7749
Specimen_70 ln_B4_B04_016.fcs	67	12	28	1694	7	6	7	37	6	12	8	193	1153	46	133	31869
Specimen_71 PBMC_A5_A05_005.fcs	50	9	28	4723	3	6	3	35	9	12	36	287	3489	114	554	52320
Specimen_71 cec_C5_C05_029.fcs	524	2	13	2110	9	7	3	40	20	2	21	225	3719	18	269	10244
Specimen_71 ln_B5_B05_017.fcs	100	5	7	1355	6	2	1	30	18	11	9	134	1559	32	21	61121
Specimen_72 PBMC_A6_A06_006.fcs	19	3	4	6591	1	3	3	1018	1	4	4	277	1768	32	115	38202
Specimen_72 cec_C6_C06_030.fcs	224	4	22	2853	8	20	20	112	9	3	7	220	673	3	315	18631
Specimen_72 ln_B6_B06_018.fcs	36	3	15	1471	3	6	2	43	2	11	4	49	854	37	80	33536
Specimen_73 PBMC_A7_A07_007.fcs	39	0	4	1798	0	4	3	18	3	5	4	156	4204	49	119	55131
Specimen_73 cec_C7_C07_031.fcs	201	2	9	1785	5	5	5	64	9	1	3	112	807	9	221	7990
Specimen_73 ln_B7_B07_019.fcs	21	3	27	1387	3	2	8	36	8	57	31	465	838	49	158	22365
Specimen_74 PBMC_A8_A08_008.fcs	68	1	9	9699	1	2	3	44	3	2	4	396	1391	21	68	36194
Specimen_74 cec_C8_C08_032.fcs	27	0	5	726	1	1	5	21	1	1	22	45	108	1	142	4536
Specimen_74 ln_B8_B08_020.fcs	76	11	11	1627	10	6	3	43	9	8	9	91	892	33	51	23973
Specimen_75 PBMC_A9_A09_009.fcs	45	2	8	9862	1	9	8	1159	3	10	4	409	2940	44	65	50466
Specimen_75 cec_C9_C09_033.fcs	53	0	5	1170	7	2	3	25	3	1	3	74	194	1	214	9157
Specimen_75 ln_B9_B09_021.fcs	26	2	7	888	10	7	3	58	8	1	1	81	435	8	23	24840
Specimen_76 PBMC_A10_A10_010.fcs	59	1	5	5694	3	3	0	21	5	6	3	249	2300	6	243	50323
Specimen_76 cec_C10_C10_034.fcs	20	2	8	454	4	3	4	6	2	0	18	25	222	3	201	5449
Specimen_76 ln_B10_B10_022.fcs	87	2	10	1916	24	14	3	46	9	7	2	124	780	16	43	32812
Specimen_77 PBMC_A11_A11_011.fcs	28	1	1	4386	7	1	3	98	10	1	5	188	1640	13	30	30239
Specimen_77 cec_C11_C11_035.fcs	67	0	4	850	3	3	2	11	1	1	2	37	85	1	143	5337
Specimen_77 ln_B11_B11_023.fcs	12	2	1	644	10	2	1	19	4	3	3	60	237	4	6	9954
Specimen_78 cec_C12_C12_036.fcs	54	0	1	872	12	4	2	39	5	0	3	75	293	0	104	5137
Specimen_78 ln_B12_B12_024.fcs	39	3	19	1080	3	2	6	36	7	9	15	128	371	10	45	25539
Specimen_79 PBMC_D1_D01_037.fcs	34	0	1	3228	7	3	0	55	5	6	5	195	1960	21	126	44253
Specimen_79 cec_F1_F01_043.fcs	54	1	2	1395	6	2	5	25	5	1	14	105	206	4	350	6085
Specimen_79 ln_E1_E01_040.fcs	56	3	10	851	14	10	3	48	21	9	12	250	1141	30	52	42035
Specimen_80 PBMC_D2_D02_038.fcs	34	1	2	2379	15	4	0	30	12	6	1	338	2856	19	59	39214
Specimen_80 cec_F2_F02_044.fcs	647	4	18	7795	125	144	122	641	254	37	75	1731	2923	5	295	24015
Specimen_80 ln_E2_E02_041.fcs	54	3	3	693	20	6	2	29	23	12	7	162	1192	13	16	19230
Specimen_80-2 PBMC_D3_D03_039.fcs	38	1	1	2457	8	5	2	20	10	3	5	336	2406	11	39	37973
Specimen_80-2 cec_F3_F03_045.fcs	575	7	21	8197	143	147	66	667	552	153	94	2475	4168	29	300	27351
Specimen_80-2 ln_E3_E03_042.fcs	63	0	2	583	21	3	0	26	18	8	12	106	1104	8	17	18268
